Id, Open, Close, High, Low, Volume, Name, Date
302,55.894,55.888,56.4,54.71,45849945,$TSLA,09/11/18-2018
303,56.288,58.108,58.5,55.72926,50077135,$TSLA,09/12/18-2018
304,57.604,57.892,59.0,57.036,31701680,$TSLA,09/13/18-2018
305,57.752,59.04,59.46512,57.304,33828060,$TSLA,09/14/18-2018
306,58.008,58.968,60.174,57.626,34437885,$TSLA,09/17/18-2018
307,59.338,56.992,60.528,55.1,82737610,$TSLA,09/18/18-2018
308,56.102,59.804,60.0,56.1,41474585,$TSLA,09/19/18-2018
309,60.712,59.666,61.196,58.666,36747110,$TSLA,09/20/18-2018
310,59.54,59.82,60.116,59.074,25252390,$TSLA,09/21/18-2018
311,59.696,59.936,60.59986,58.716,24214805,$TSLA,09/24/18-2018
312,60.0,60.198,60.92,59.3,22408645,$TSLA,09/25/18-2018
313,60.382,61.916,62.778,60.22186,39216080,$TSLA,09/26/18-2018
314,62.58,61.504,62.992,61.382,42545420,$TSLA,09/27/18-2018
315,54.052,52.954,55.6,52.111,168248470,$TSLA,09/28/18-2018
316,61.154,62.14,62.288,60.21,108887985,$TSLA,10/01/18-2018
317,62.79,60.204,63.368,59.83,58717555,$TSLA,10/02/18-2018
318,60.666,58.96,60.92,58.314,39974940,$TSLA,10/03/18-2018
319,58.79,56.366,58.8,55.534,49071060,$TSLA,10/04/18-2018
320,54.93,52.39,54.976,52.0,89722685,$TSLA,10/05/18-2018
321,52.904,50.112,53.55198,49.8,67363265,$TSLA,10/08/18-2018
322,51.05,52.56,53.354,50.66,60302870,$TSLA,10/09/18-2018
323,52.922,51.376,53.102,49.554,64076390,$TSLA,10/10/18-2018
324,51.506,50.446,52.45,49.806,40838690,$TSLA,10/11/18-2018
325,52.2,51.756,52.398,50.402,36007020,$TSLA,10/12/18-2018
326,51.812,51.918,52.656,50.90734,30999825,$TSLA,10/15/18-2018
327,53.14,55.318,55.475,52.448,47632005,$TSLA,10/16/18-2018
328,56.48,54.356,56.54,53.16064,43277710,$TSLA,10/17/18-2018
329,53.858,52.782,54.2,52.6,27105920,$TSLA,10/18/18-2018
330,53.478,52.0,53.932,50.7,46877745,$TSLA,10/19/18-2018
331,52.136,52.19,52.372,50.518,28001300,$TSLA,10/22/18-2018
332,52.774,58.828,59.586,52.42,95138765,$TSLA,10/23/18-2018
333,60.21,57.7,60.888,57.146,100291290,$TSLA,10/24/18-2018
334,63.444,62.972,64.2,60.202,104203620,$TSLA,10/25/18-2018
335,61.65,66.18,67.98,61.33,137127600,$TSLA,10/26/18-2018
336,67.494,66.97,69.432,65.3,72430135,$TSLA,10/29/18-2018
337,65.678,65.98,67.57998,64.452,45633520,$TSLA,10/30/18-2018
338,66.508,67.464,68.4,65.82,38121740,$TSLA,10/31/18-2018
339,67.652,68.856,69.568,66.945,40000660,$TSLA,11/01/18-2018
340,68.748,69.282,69.84,68.182,39030820,$TSLA,11/02/18-2018
341,68.1,68.28,68.791,66.028,39155240,$TSLA,11/05/18-2018
342,67.814,68.212,69.76,67.218,33814445,$TSLA,11/06/18-2018
343,68.668,69.632,70.236,68.16,36872610,$TSLA,11/07/18-2018
344,69.7,70.28,71.5151,69.688,35453370,$TSLA,11/08/18-2018
345,69.8,70.102,70.8,69.046,25494230,$TSLA,11/09/18-2018
346,69.674,66.256,69.956,66.068,34707615,$TSLA,11/12/18-2018
347,66.632,67.746,68.94,66.44,27242985,$TSLA,11/13/18-2018
348,68.54,68.8,69.422,67.43,25201435,$TSLA,11/14/18-2018
349,68.466,69.688,69.716,67.808,23128595,$TSLA,11/15/18-2018
350,69.038,70.862,71.14,69.02402,36030955,$TSLA,11/16/18-2018
351,71.268,70.694,73.35,70.576,48544355,$TSLA,11/19/18-2018
352,68.35,69.498,69.96,66.71,40023545,$TSLA,11/20/18-2018
353,70.4,67.638,70.62,67.4799,23434040,$TSLA,11/21/18-2018
354,66.869,65.166,67.5,65.11,21013210,$TSLA,11/23/18-2018
355,65.0,69.2,69.244,65.0,39960705,$TSLA,11/26/18-2018
356,68.01,68.784,69.392,67.1,31791500,$TSLA,11/27/18-2018
357,69.198,69.574,69.656,68.442,20637890,$TSLA,11/28/18-2018
358,69.4,68.234,69.5,67.91,15403620,$TSLA,11/29/18-2018
359,68.366,70.096,70.32,67.65296,28144475,$TSLA,11/30/18-2018
360,72.0,71.698,73.2,70.4,41532555,$TSLA,12/03/18-2018
361,71.21,71.94,73.736,70.4,42309725,$TSLA,12/04/18-2018
362,71.202,72.612,73.476,70.152,39212540,$TSLA,12/06/18-2018
363,73.8,71.593,75.898,71.53,57555885,$TSLA,12/07/18-2018
364,72.0,73.03,73.196,70.624,33067275,$TSLA,12/10/18-2018
365,73.982,73.352,74.43378,72.046,31543845,$TSLA,12/11/18-2018
366,73.884,73.32,74.382,73.032,25135240,$TSLA,12/12/18-2018
367,74.03,75.358,75.488,73.35,36829270,$TSLA,12/13/18-2018
368,75.0,73.142,75.574,72.866,31687775,$TSLA,12/14/18-2018
369,72.4,69.684,73.14,68.776,38370040,$TSLA,12/17/18-2018
370,70.108,67.406,70.31,66.738,35499995,$TSLA,12/18/18-2018
371,67.52,66.594,69.402,65.948,41370905,$TSLA,12/19/18-2018
